amount_transferred,mode_of_transaction,date_and_time,account_number,place_of_transaction,merchant,label,amount_before_transaction,amount_after_transaction
8507.311764,Online,16-01-2024 13:10,904990831,Kolhapur,unknown,fraud,13082.98802,4575.676252
3988.034358,Online,18-02-2024 06:34,2773156066,Jalgaon,unknown,legitimate,12574.2446,8586.210241
9896.102801,Mobile,15-01-2024 20:32,3386622037,Amaravati,unknown,legitimate,10475.22203,579.1192313
1393.458204,Online,09-03-2024 17:18,4437354444,Panchkula,unknown,legitimate,2963.780704,1570.3225
6551.233629,Branch,07-02-2024 08:16,2010638049,Jaipur,unknown,legitimate,10749.51384,4198.280215
8107.380603,Branch,28-02-2024 01:48,4218062214,Firozabad,unknown,legitimate,12992.96206,4885.58146
5749.036492,Mobile,01-03-2024 03:16,6741347138,Adoni,unknown,fraud,8457.757312,2708.72082
6887.096344,Mobile,10-01-2024 21:52,9082789300,Sambalpur,unknown,fraud,10516.21538,3629.119041
1727.614738,Online,08-02-2024 22:54,5290789023,Sangli-Miraj & Kupwad,unknown,legitimate,3439.098138,1711.4834
9154.031772,Branch,23-01-2024 12:34,4112041445,Sangli-Miraj & Kupwad,unknown,legitimate,14096.45869,4942.426914
1298.147505,Online,21-02-2024 04:12,3279509845,Bhalswa Jahangir Pur,unknown,legitimate,9257.196104,7959.048599
8162.400815,Mobile,28-02-2024 03:40,1910794543,Karnal,unknown,legitimate,14809.86871,6647.467897
488.767201,Branch,06-03-2024 21:02,6652541262,Kavali,unknown,legitimate,1655.91045,1167.143249
2084.697704,Mobile,18-02-2024 11:16,4598726889,Ghaziabad,unknown,legitimate,7011.755577,4927.057874
4241.505255,Branch,11-03-2024 20:02,6917053071,Guntakal,unknown,legitimate,11248.20444,7006.69919
6527.181991,Branch,11-02-2024 06:20,274306945,Singrauli,unknown,fraud,11873.14543,5345.963436
5299.117498,Online,07-02-2024 02:25,6609606326,Jalna,unknown,fraud,9276.705904,3977.588406
1807.986382,Branch,12-02-2024 09:12,4634779347,Noida,unknown,legitimate,8064.939152,6256.952771
8627.562964,Branch,06-01-2024 14:34,1085191613,Tadepalligudem,unknown,fraud,18317.08575,9689.522786
5598.773885,Online,21-01-2024 18:43,424388401,Kirari Suleman Nagar,unknown,fraud,6638.362192,1039.588307
3750.200992,Mobile,28-01-2024 14:36,7944316437,Ludhiana,unknown,legitimate,7711.359993,3961.159001
9093.502064,Branch,20-02-2024 04:27,7783293686,Phagwara,unknown,legitimate,13218.90001,4125.397945
6650.50587,Online,25-02-2024 18:41,9600977867,Faridabad,unknown,legitimate,12462.48224,5811.976374
8674.405299,Online,27-02-2024 03:04,226857520,Guna,unknown,legitimate,10280.93386,1606.528559
9288.028039,Mobile,05-01-2024 16:17,4305029214,Pimpri-Chinchwad,unknown,fraud,11136.79403,1848.765996
8188.041682,Branch,02-03-2024 18:25,6624943966,Kanpur,unknown,legitimate,11113.1194,2925.077721
6403.029853,Online,02-01-2024 02:29,4868724210,Kozhikode,unknown,fraud,15966.14328,9563.113428
9512.071633,Online,24-02-2024 15:41,3803171362,Katni,unknown,fraud,16879.74659,7367.674954
7846.015541,Branch,28-01-2024 14:24,4532787686,Indore,unknown,legitimate,14496.77923,6650.763687
8274.53842,Online,21-01-2024 14:14,1184185597,Siwan,unknown,legitimate,16462.41953,8187.881105
6188.571544,Branch,10-03-2024 00:10,4656102834,Hajipur,unknown,fraud,7551.578587,1363.007042
6456.113297,Online,13-01-2024 09:03,2154158272,Hajipur,unknown,fraud,15063.50821,8607.394915
7370.220197,Online,31-01-2024 00:12,7701643927,Rajahmundry,unknown,legitimate,13359.06406,5988.843867
5272.850793,Mobile,09-03-2024 20:31,4207121442,Kulti,unknown,legitimate,8692.607967,3419.757174
2420.81344,Online,23-02-2024 11:07,5730684156,Bhalswa Jahangir Pur,unknown,legitimate,10597.78047,8176.967032
7575.858831,Online,20-01-2024 03:40,9245020505,Madhyamgram,unknown,fraud,15621.24772,8045.38889
1195.254196,Mobile,14-01-2024 14:42,6190704536,Chennai,unknown,fraud,9667.769155,8472.514959
3419.262596,Online,27-01-2024 18:01,5810962841,Giridih,unknown,legitimate,4662.889807,1243.627211
2398.905682,Mobile,06-02-2024 02:46,4383320447,Bareilly,unknown,fraud,12095.58201,9696.676325
7616.995818,Branch,15-01-2024 02:51,6918835068,Nellore,unknown,legitimate,17217.29474,9600.298923
9263.128278,Online,14-01-2024 15:32,3144456938,Mangalore,unknown,fraud,12902.07777,3638.94949
191.050811,Branch,12-03-2024 18:09,9232539835,Karnal,unknown,fraud,943.4015913,752.3507803
6797.482519,Mobile,16-03-2024 15:13,1082001465,Haldia,unknown,fraud,8551.333647,1753.851128
5228.279857,Mobile,25-01-2024 18:40,3562327393,Thoothukudi,unknown,legitimate,15157.30503,9929.025172
8640.140664,Online,04-02-2024 04:19,6104567850,Buxar,unknown,legitimate,14313.9688,5673.828137
8079.326243,Online,07-03-2024 21:35,1635321723,Morbi,unknown,fraud,11709.88205,3630.555808
